PlayTime	637439055252040547
TimeScale	1
CircuitName	OvalTrack
CircuitId	f7f6758f18cd145722af32d2174f27c6
CircuitVersion	v0.1	//赛道的更新版本
CircuitLength	278.9362
PlayerName	欧阳双钻_KartClassic_0
CarName	欧阳双钻_KartClassic_0
AgentName	AI_Racer1	//AgentName
TotalLapCount	1
TotalCarCount	1
CircuitPosition	0.0, 0.0, 0.0
CarPosition	70083	8.0,1.0,-27.4	0.0000	0.0,-0.2,0.0
CarPosition	668230	8.0,1.0,-27.4	0.0000	0.0,-0.2,0.0
CarPosition	992857	8.0,1.0,-27.4	0.0000	0.0,-0.6,0.0
CarPosition	1292823	8.0,1.0,-27.4	0.0000	0.0,-1.0,0.0
CarPosition	1452437	8.0,0.9,-27.4	0.0000	0.0,-1.4,0.0
CarPosition	1632613	8.0,0.9,-27.4	0.0000	0.1,-1.6,0.0
CarPosition	1831830	8.0,0.9,-27.4	0.0000	0.2,-0.7,0.0
CarPosition	2104727	8.0,0.9,-27.4	0.0000	0.4,0.0,0.0
CarPosition	2393142	8.0,0.9,-27.4	0.0000	0.8,-0.4,0.0
CarPosition	2663485	8.0,0.9,-27.4	0.0000	1.0,-0.1,0.0
CarPosition	2958362	8.1,0.9,-27.4	0.0000	1.4,-0.5,0.0
CarPosition	3110889	8.1,0.9,-27.4	0.0001	1.4,-0.5,0.0
CarPosition	3290431	8.1,0.9,-27.4	0.0002	1.6,0.0,0.0
CarPosition	3450040	8.2,0.9,-27.4	0.0003	1.8,-0.2,0.0
CarPosition	3620570	8.2,0.9,-27.4	0.0004	2.0,-0.1,0.0
CarPosition	3809058	8.2,0.9,-27.4	0.0006	2.2,0.0,0.0
CarPosition	3959141	8.3,0.9,-27.4	0.0007	2.4,-0.2,-0.1
CarPosition	4128688	8.3,0.9,-27.4	0.0008	2.4,-0.2,-0.1
CarPosition	4298273	8.4,0.9,-27.4	0.0010	2.5,0.0,-0.1
CarPosition	4467822	8.4,0.9,-27.4	0.0012	2.7,-0.2,-0.1
CarPosition	4637338	8.4,0.9,-27.4	0.0013	2.9,0.0,-0.2
CarPosition	4826840	8.5,0.9,-27.5	0.0015	3.1,-0.2,-0.3
CarPosition	4976434	8.6,0.9,-27.5	0.0017	3.3,0.0,-0.2
CarPosition	5146460	8.6,0.9,-27.5	0.0019	3.4,-0.2,-0.2
CarPosition	5306176	8.7,0.9,-27.5	0.0021	3.4,-0.2,-0.2
CarPosition	5475488	8.7,0.9,-27.5	0.0024	3.6,0.0,-0.2
CarPosition	5645035	8.8,0.9,-27.5	0.0026	3.7,-0.2,-0.3
CarPosition	5822206	8.8,0.9,-27.5	0.0028	3.9,0.0,-0.3
CarPosition	5981795	8.9,0.9,-27.5	0.0031	4.0,-0.2,-0.5
CarPosition	6152440	9.0,0.9,-27.5	0.0033	4.2,0.0,-0.6
CarPosition	6311169	9.1,0.9,-27.5	0.0036	4.2,0.0,-0.6
CarPosition	6490618	9.1,0.9,-27.5	0.0038	4.3,-0.2,-0.7
CarPosition	6659991	9.2,0.9,-27.5	0.0041	4.5,0.0,-0.8
CarPosition	6833078	9.3,0.9,-27.6	0.0044	4.6,-0.2,-1.0
CarPosition	6993798	9.4,0.9,-27.6	0.0047	4.8,0.0,-1.0
CarPosition	7162211	9.4,0.9,-27.6	0.0050	4.9,-0.2,-1.0
CarPosition	7331760	9.5,0.9,-27.6	0.0053	4.9,-0.2,-1.0
CarPosition	7501305	9.6,0.9,-27.6	0.0056	5.0,0.0,-1.1
CarPosition	7672147	9.7,0.9,-27.6	0.0059	5.2,-0.2,-1.2
CarPosition	7841690	9.8,0.9,-27.7	0.0062	5.3,0.0,-1.2
CarPosition	8001307	9.9,0.9,-27.7	0.0066	5.5,-0.2,-1.0
CarPosition	8172301	10.0,0.9,-27.7	0.0069	5.6,0.0,-0.9
